party,name,state,district,twitter_username,twitter_id,source_url,included_in_balanced_corpus,exclusion_reason
Democratic,Alma Adams,NC,12,RepAdams,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Robert Aderholt,AL,04,Robert_Aderholt,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Pete Aguilar,CA,33,RepPeteAguilar,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Mark Alford,MO,04,RepMarkAlford,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Rick Allen,GA,12,RepRickAllen,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Gabe Amo,RI,01,RepGabeAmo,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Mark Amodei,NV,02,MarkAmodeiNV2,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Yassamin Ansari,AZ,03,RepYassAnsari,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Jodey Arrington,TX,19,RepArrington,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Jake Auchincloss,MA,04,RepAuchincloss,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Brian Babin,TX,36,RepBrianBabin,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Don Bacon,NE,02,RepDonBacon,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,James Baird,IN,04,RepJimBaird,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Troy Balderson,OH,12,RepBalderson,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Becca Balint,VT,00,RepBeccaB,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Andy Barr,KY,06,RepAndyBarr,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Nanette Barragán,CA,44,RepBarragan,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Tom Barrett,MI,07,RepTomBarrett,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Michael Baumgartner,WA,05,RepBaumgartner,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Aaron Bean,FL,04,RepAaronBean,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Joyce Beatty,OH,03,RepBeatty,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Nick Begich,AK,00,RepNickBegich,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Wesley Bell,MO,01,RepWesleyBellMO,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Cliff Bentz,OR,02,RepBentz,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Ami Bera,CA,06,RepBera,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Jack Bergman,MI,01,RepJackBergman,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Donald Beyer,VA,08,RepDonBeyer,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Stephanie Bice,OK,05,RepBice,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Andy Biggs,AZ,05,RepAndyBiggsAZ,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
