party,name,state,district,twitter_username,twitter_id,tweet_count,eligible,included_in_balanced_corpus,exclusion_reason,user_code,source_url
Democratic,Alma Adams,NC,12,RepAdams,,50,True,true,,dem007,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Robert Aderholt,AL,04,Robert_Aderholt,,50,True,true,,rep167,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Pete Aguilar,CA,33,RepPeteAguilar,,50,True,true,,dem152,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Mark Alford,MO,04,RepMarkAlford,,50,True,true,,rep118,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Rick Allen,GA,12,RepRickAllen,,50,True,true,,rep165,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Gabe Amo,RI,01,RepGabeAmo,,50,True,true,,dem051,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Mark Amodei,NV,02,MarkAmodeiNV2,,50,True,true,,rep119,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Yassamin Ansari,AZ,03,RepYassAnsari,,50,True,true,,dem203,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Jodey Arrington,TX,19,RepArrington,,50,True,true,,rep093,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Jake Auchincloss,MA,04,RepAuchincloss,,50,True,true,,dem071,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Brian Babin,TX,36,RepBrianBabin,,50,True,true,,rep027,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Don Bacon,NE,02,RepDonBacon,,50,True,true,,rep064,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,James Baird,IN,04,RepJimBaird,,50,True,true,,rep083,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Troy Balderson,OH,12,RepBalderson,,50,True,true,,rep201,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Becca Balint,VT,00,RepBeccaB,,50,True,true,,dem014,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
